Title,Price,Location,Bedrooms,Bathrooms,Land Area,Building Area,Agent Name,URL,Price per Bedroom,Cost per Bedroom,Area per Bedroom
Dijual Kostan 6 Pintu Full Terisi Arcamanik Bandung,600.0,"Arcamanik, Bandung",6.0,6.0,90.0,170.0,Teti Hartiyati,"<a href=""https://www.rumah123.com/properti/bandung/kss390/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss390/</a>",1.6666666666666667,100.0,28.333333333333332
"Dijual Toko Dan Kost Kontrakan Di Ciganitri, Bandung",625.0,"Bojongsoang, Bandung",8.0,8.0,110.0,200.0,Muhammad Zirkon Daud Budiman,"<a href=""https://www.rumah123.com/properti/bandung/kss15854/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss15854/</a>",1.3020833333333333,78.125,25.0
Kos Pasundan,625.0,"Regol, Bandung",9.0,2.0,65.0,63.0,Tanu Widjojo,"<a href=""https://www.rumah123.com/properti/bandung/kss1973/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss1973/</a>",1.1574074074074074,69.44444444444444,7.0
Dijual Kostan 2 Lantai Taman Cibaduyut Indah Kota Bandung,625.0,"Cibaduyut, Bandung",5.0,5.0,60.0,110.0,Imelda Veranika,"<a href=""https://www.rumah123.com/properti/bandung/kss7250/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss7250/</a>",2.083333333333333,125.0,22.0
Dijual Kostan 2 Lantai Taman Cibaduyut Indah Kota Bandung,625.0,"Cibaduyut, Bandung",5.0,5.0,60.0,110.0,Eric,"<a href=""https://www.rumah123.com/properti/bandung/kss6110/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss6110/</a>",2.083333333333333,125.0,22.0
Kos Penuh 8kt 8km Dlm Cihanjuang Bandung,650.0,"Sariwangi, Bandung",8.0,8.0,70.0,100.0,yudie kurniawan,"<a href=""https://www.rumah123.com/properti/bandung/kss7246/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss7246/</a>",1.3541666666666667,81.25,12.5
Rumah Kost Cocok Untuk Invest di Taman Cibaduyut Indah Bandung,650.0,"Bandung Kota, Bandung",5.0,5.0,60.0,110.0,cing cing,"<a href=""https://www.rumah123.com/properti/bandung/kss4681/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss4681/</a>",2.166666666666667,130.0,22.0
Rumah Dijual Di Cihanjuang Cimahi Rumah Cluster Cihanjuang Cimahi Dekat Pemkot,650.0,"Cihanjuang, Bandung",2.0,2.0,60.0,50.0,Hamzah Kurniawan,"<a href=""https://www.rumah123.com/properti/bandung/kss16751/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss16751/</a>",5.416666666666667,325.0,25.0
Rumah Hitung Tanah Cocok Untuk Kos Kost di Sayap Gatot Subroto,670.0,"Gatot Subroto, Bandung",5.0,2.0,141.0,100.0,Fred,"<a href=""https://www.rumah123.com/properti/bandung/kss17245/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss17245/</a>",2.2333333333333334,134.0,20.0
"Kost 2 Lantai Taman Cibaduyut Indah, Bandung",675.0,"Cibaduyut, Bandung",5.0,5.0,60.0,120.0,Willy Liauw,"<a href=""https://www.rumah123.com/properti/bandung/kss3118/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss3118/</a>",2.25,135.0,24.0
Kos Aktif 7kt 7km Ujung Berung Bandung,695.0,"Ujungberung, Bandung",7.0,7.0,99.0,90.0,yudie kurniawan,"<a href=""https://www.rumah123.com/properti/bandung/kss6899/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss6899/</a>",1.6547619047619049,99.28571428571429,12.857142857142858
Kos Stt Telkom,695.0,"Bojongsoang, Bandung",9.0,3.0,72.0,117.0,Tanu Widjojo,"<a href=""https://www.rumah123.com/properti/bandung/kss3003/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss3003/</a>",1.2870370370370372,77.22222222222223,13.0
Dijual Cepat Kosan Murah Aktif Di Sulaksana,700.0,"Antapani, Bandung",7.0,7.0,70.0,70.0,Glory's Property,"<a href=""https://www.rumah123.com/properti/bandung/kss9641/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss9641/</a>",1.6666666666666665,100.0,10.0
Rumah Kost Khusus Wanita Full Terisi Gatot Subroto Dekat Tsm,700.0,"Gatot Subroto, Bandung",6.0,2.0,58.0,116.0,Dharono trisawego,"<a href=""https://www.rumah123.com/properti/bandung/kss7837/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss7837/</a>",1.9444444444444444,116.66666666666667,19.333333333333332
Rumah Kost Dua Lantai Gatot Subroto Dekat Tsm,700.0,"Gatot Subroto, Bandung",12.0,4.0,121.0,160.0,Dharono trisawego,"<a href=""https://www.rumah123.com/properti/bandung/kss12798/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss12798/</a>",0.9722222222222222,58.333333333333336,13.333333333333334
"Kost Murah Bangunan Baru Minimalis di Sayap Mekar Wangi, Bandung",700.0,"Mekar Wangi, Bandung",8.0,8.0,65.0,100.0,Sielly Lilianti,"<a href=""https://www.rumah123.com/properti/bandung/kss7630/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss7630/</a>",1.4583333333333333,87.5,12.5
Kost Lokasi Dekat Pasar Tradisional di Cibogo,700.0,"Sukajadi, Bandung",5.0,5.0,70.0,85.0,Sukiawan Era Jack,"<a href=""https://www.rumah123.com/properti/bandung/kss3765/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss3765/</a>",2.333333333333333,140.0,17.0
Kos Aktif Dkt Univ Upi Gerlong Bandung,750.0,"Setiabudi, Bandung",8.0,2.0,63.0,120.0,yudie kurniawan,"<a href=""https://www.rumah123.com/properti/bandung/kss11962/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss11962/</a>",1.5625,93.75,15.0
Kos Aktif 12kmr Sarijadi Bandung,750.0,"Sarijadi, Bandung",12.0,3.0,70.0,130.0,yudie kurniawan,"<a href=""https://www.rumah123.com/properti/bandung/kss25059/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss25059/</a>",1.0416666666666667,62.5,10.833333333333334
Dijual Ruang Usaha Di Jatinangor,750.0,"Jatinangor, Bandung",6.0,5.0,105.0,250.0,Tri wijayanti,"<a href=""https://www.rumah123.com/properti/bandung/kss699/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss699/</a>",2.0833333333333335,125.0,41.666666666666664
Kost Murah Lokasi Dalam Gang di Cibaduyut,750.0,"Cibaduyut, Bandung",6.0,3.0,140.0,117.0,Gisa,"<a href=""https://www.rumah123.com/properti/bandung/kss6797/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss6797/</a>",2.0833333333333335,125.0,19.5
Kost Murah Lokasi Dalam Gang di Cibaduyut,750.0,"Cibaduyut, Bandung",6.0,3.0,140.0,117.0,Gisa,"<a href=""https://www.rumah123.com/properti/bandung/kss6797/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss6797/</a>",2.0833333333333335,125.0,19.5
Dijual Kosan di Jalan Ibrahim Adjie Deket Borma Kiaracondong,780.0,"Kiaracondong, Bandung",8.0,8.0,70.0,140.0,Glory's Property,"<a href=""https://www.rumah123.com/properti/bandung/kss11595/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss11595/</a>",1.625,97.5,17.5
Kos Aktif 11 Kamar Sayap Padjajaran Bandung,799.0,"Pajajaran, Bandung",11.0,8.0,98.0,180.0,yudie kurniawan,"<a href=""https://www.rumah123.com/properti/bandung/kss11920/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss11920/</a>",1.2106060606060607,72.63636363636364,16.363636363636363
Kos Kopo Kodya,799.0,"Babakanciparay, Bandung",12.0,3.0,129.0,80.0,Tanu Widjojo,"<a href=""https://www.rumah123.com/properti/bandung/kss15760/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss15760/</a>",1.1097222222222223,66.58333333333333,6.666666666666667
"5 Menit Ke Tsm, Dijual Kost Maleer Bandung",850.0,"Gatot Subroto, Bandung",6.0,3.0,79.0,100.0,josephine,"<a href=""https://www.rumah123.com/properti/bandung/kss14689/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss14689/</a>",2.361111111111111,141.66666666666666,16.666666666666668
Kost Murah di Maleer Batununggal Bandung,850.0,"Batununggal, Bandung",6.0,3.0,79.0,100.0,handy cahyadi commercial,"<a href=""https://www.rumah123.com/properti/bandung/kss5321/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss5321/</a>",2.361111111111111,141.66666666666666,16.666666666666668
Rumah Kos Kost Tengah Kota Sayap Jl Moh Toha,850.0,"Moch Toha, Bandung",9.0,7.0,98.0,180.0,Fred SAP,"<a href=""https://www.rumah123.com/properti/bandung/kss9077/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss9077/</a>",1.574074074074074,94.44444444444444,20.0
Rumah Kos Dekat Rshs Kawasan Sukajadi Bandung,850.0,"Sukajadi, Bandung",12.0,4.0,123.0,200.0,Dharono trisawego,"<a href=""https://www.rumah123.com/properti/bandung/kss444/"" target=""_blank"">https://www.rumah123.com/properti/bandung/kss444/</a>",1.1805555555555556,70.83333333333333,16.666666666666668
