Title,Price,Location,Bedrooms,Bathrooms,Land Area,Building Area,Agent Name,URL,Price per Bedroom,Cost per Bedroom,Area per Bedroom
Jual Bu Cepat Rumah Tinggal Dengan 7 Kamar Kost.,1300.0,"Pondok Pinang, Jakarta Selatan",8.0,3.0,126.0,200.0,Eko Prijatno W,"<a href=""https://www.rumah123.com/properti/jakarta-selatan/kss16000/"" target=""_blank"">https://www.rumah123.com/properti/jakarta-selatan/kss16000/</a>",2.7083333333333335,162.5,25.0
Dijual Rumah Kost Senen Jakarta Pusat,1300.0,"Senen, Jakarta Pusat",15.0,2.0,152.0,110.0,Tjan Tjahja Irawan,"<a href=""https://www.rumah123.com/properti/jakarta-pusat/kss6355/"" target=""_blank"">https://www.rumah123.com/properti/jakarta-pusat/kss6355/</a>",1.4444444444444444,86.66666666666667,7.333333333333333
Dijual Kontrakan 5 Pintu di Menteng Ujung Shm,1300.0,"Menteng, Jakarta Pusat",5.0,5.0,155.0,155.0,Deny Sutedja,"<a href=""https://www.rumah123.com/properti/jakarta-pusat/kss6685/"" target=""_blank"">https://www.rumah123.com/properti/jakarta-pusat/kss6685/</a>",4.333333333333334,260.0,31.0
"Jual Cepet Rumah Kontrakan Duri Kosambi Raya,selalu Terisi Penuh",1350.0,"Duri Kosambi, Jakarta Barat",5.0,0.0,240.0,240.0,Mitha,"<a href=""https://www.rumah123.com/properti/jakarta-barat/kss16750/"" target=""_blank"">https://www.rumah123.com/properti/jakarta-barat/kss16750/</a>",4.5,270.0,48.0
"Buc. Turun Harga. Kosan Aktif di Setiabudi Jkt Strategis, Full Terus",1350.0,"Setiabudi, Jakarta Selatan",6.0,6.0,48.0,96.0,Erly,"<a href=""https://www.rumah123.com/properti/jakarta-selatan/kss600/"" target=""_blank"">https://www.rumah123.com/properti/jakarta-selatan/kss600/</a>",3.75,225.0,16.0
"Dijual Rumah Kost di Petamburan, Jakarta Pusat",1400.0,"Tanah Abang, Jakarta Pusat",10.0,10.0,35.0,105.0,James Paul Tungka,"<a href=""https://www.rumah123.com/properti/jakarta-pusat/kss7764/"" target=""_blank"">https://www.rumah123.com/properti/jakarta-pusat/kss7764/</a>",2.333333333333333,140.0,10.5
Dijual Rumah Kost 4 Lantai 114 Meter SHM Taman Sari Jakarta Barat,1400.0,"Tamansari, Jakarta Barat",6.0,4.0,36.0,114.0,SAM LEE - MR EL,"<a href=""https://www.rumah123.com/properti/jakarta-barat/kss8032/"" target=""_blank"">https://www.rumah123.com/properti/jakarta-barat/kss8032/</a>",3.888888888888889,233.33333333333334,19.0
Rumah 2lt Bisa Jalan Kaki Ke Stasiun Cocok Kostan 10kamar Kembali Modal 10 Tahun Dekat Menteng,1450.0,"Menteng, Jakarta Pusat",12.0,5.0,96.0,180.0,Gido Xavier Marks Menteng,"<a href=""https://www.rumah123.com/properti/jakarta-pusat/kss1782/"" target=""_blank"">https://www.rumah123.com/properti/jakarta-pusat/kss1782/</a>",2.013888888888889,120.83333333333333,15.0
"Kost Baru Gress Strategis, Token Tiap Kamar di Cengkareng. 16078",1450.0,"Cengkareng, Jakarta Barat",14.0,14.0,50.0,130.0,Chandra Setiawan Dan Team,"<a href=""https://www.rumah123.com/properti/jakarta-barat/kss7474/"" target=""_blank"">https://www.rumah123.com/properti/jakarta-barat/kss7474/</a>",1.7261904761904763,103.57142857142857,9.285714285714286
"Dijual Rumah Kos 3 Lantai Sudah SHM di Jelambar, Jakbar",1450.0,"Jelambar, Jakarta Barat",6.0,6.0,44.0,132.0,Linda,"<a href=""https://www.rumah123.com/properti/jakarta-barat/kss12070/"" target=""_blank"">https://www.rumah123.com/properti/jakarta-barat/kss12070/</a>",4.027777777777778,241.66666666666666,22.0
Jual 10kamar Kostan Bisa Kpr Dan Cicilannya Bisa Dari Kostannya di Jakpus,1490.0,"Kemayoran, Jakarta Pusat",10.0,4.0,150.0,200.0,Gido Xavier Marks Menteng,"<a href=""https://www.rumah123.com/properti/jakarta-pusat/kss7248/"" target=""_blank"">https://www.rumah123.com/properti/jakarta-pusat/kss7248/</a>",2.4833333333333334,149.0,20.0
"Dijual rumah kost di Papanggo, Tanjung Priok, Jakarta Utara",1500.0,"Tanjung Priok, Jakarta Utara",10.0,2.0,168.0,330.0,Arabella Rusanna Tham,"<a href=""https://www.rumah123.com/properti/jakarta-utara/kss2842/"" target=""_blank"">https://www.rumah123.com/properti/jakarta-utara/kss2842/</a>",2.5,150.0,33.0
